Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
8587,CN(C)c1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N(C)C)cc5)c5ccc2c3c45)cc1,CCO,426.0,543.0,,,3.398114,,,,,488.225248896,10.1021/jo900588e
8588,CN(C)c1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N(C)C)cc5)c5ccc2c3c45)cc1,CO,427.0,555.1,,0.256,4.329154,,3577.0,,111.3,488.225248896,10.1021/jo900588e
8589,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,CCCCCC,421.0,444.0,,0.466,4.972795,4367.3,2358.3,78.1,46.6,432.16264864,10.1021/jo900588e
8590,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,Cc1ccccc1,417.0,463.0,,,5.030357,,2595.6,,55.8,432.16264864,10.1021/jo900588e
8591,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,C1COCCO1,420.0,476.0,,,5.061664,4479.4,2814.9,79.7,64.1,432.16264864,10.1021/jo900588e
8592,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,CCOC(C)=O,419.0,506.0,,,5.057293,,3308.1,,85.3,432.16264864,10.1021/jo900588e
8593,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,ClCCl,417.0,492.0,,0.646,5.044728,4765.3,3352.9,83.7,81.7,432.16264864,10.1021/jo900588e
8594,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,CC(C)=O,421.0,538.0,,,5.060501,,3524.1,,102.9,432.16264864,10.1021/jo900588e
8595,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,CCCCCCO,421.0,534.0,,,5.01644,,3273.9,,94.1,432.16264864,10.1021/jo900588e
8596,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,CCO,419.0,540.0,,,5.017351,,3376.8,,99.3,432.16264864,10.1021/jo900588e
8597,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(N)cc5)c5ccc2c3c45)cc1,CO,415.0,557.0,,0.199,5.030462,,3498.8,,109.6,432.16264864,10.1021/jo900588e
8598,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCCCCC,439.0,460.4,,0.693,4.529302,4108.5,2199.8,79.8,46.7,488.225248896,10.1021/jo900588e
8599,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,Cc1ccccc1,433.0,483.7,,,4.516403,,2401.7,,56.4,488.225248896,10.1021/jo900588e
8600,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,C1COCCO1,430.0,489.2,,,4.502291,4078.1,2655.5,76.0,63.8,488.225248896,10.1021/jo900588e
8601,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCOC(C)=O,431.0,523.5,,,4.469704,,3311.3,,91.4,488.225248896,10.1021/jo900588e
8602,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,ClCCl,439.0,532.8,,0.531,4.540092,4512.9,2985.4,87.8,85.3,488.225248896,10.1021/jo900588e
8603,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CC(C)=O,447.0,569.6,,,4.523356,,3368.5,,110.3,488.225248896,10.1021/jo900588e
8604,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCCCCCO,430.0,528.2,,,4.436608,,3595.4,,101.2,488.225248896,10.1021/jo900588e
8605,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCO,431.0,540.0,,,4.44295,,3628.2,,106.8,488.225248896,10.1021/jo900588e
8606,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CO,436.0,554.0,,0.369,4.491656,4063.2,3552.1,77.9,110.1,488.225248896,10.1021/jo900588e
8607,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(C#Cc3ccc4ccc5ccc(C#Cc6ccc(NS(=O)(=O)c7ccc([N+](=O)[O-])cc7[N+](=O)[O-])cc6)c6ccc3c4c56)cc2)c([N+](=O)[O-])c1,CO,402.0,539.0,,0.003,4.118761,,,,,892.089362208,10.1021/jo900588e
8608,Nc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(NS(=O)(=O)c6ccc([N+](=O)[O-])cc6[N+](=O)[O-])cc5)c5ccc2c3c45)cc1,CO,406.0,552.0,,0.016,4.400434,,,,,662.1260054239999,10.1021/jo900588e
8609,c1ccc2c(c1)Nc1ccccc1S2,CC#N,318.0,,,,3.681241,,,,,199.045570288,10.1021/jp044530j
8610,c1ccc2c(c1)Nc1ccccc1S2,CO,318.0,,,,3.681241,,,,,199.045570288,10.1021/jp044530j
8611,CN(C)CCCN1c2ccccc2Sc2ccccc21,CC#N,305.0,444.0,1.85,0.02,3.623249,,,,,284.13471964,10.1021/jp044530j
8612,CN(C)CCCN1c2ccccc2Sc2ccccc21,CO,307.0,444.0,1.75,0.004,3.623249,,,,,284.13471964,10.1021/jp044530j
8613,CN(C)CCCN1c2ccccc2Sc2ccccc21,O,302.0,452.0,2.04,0.014,3.434569,,,,,284.13471964,10.1021/jp044530j
8614,Clc1ccc2c(c1)Nc1ccccc1S2,CC#N,323.0,,,,3.845098,,,,,233.006597936,10.1021/jp044530j
8615,Clc1ccc2c(c1)Nc1ccccc1S2,CO,323.0,,,,3.845098,,,,,233.006597936,10.1021/jp044530j
8616,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CC#N,312.0,451.0,0.92,0.001,3.643453,,,,,318.09574728800004,10.1021/jp044530j
8617,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CO,311.0,449.0,0.89,0.001,3.662758,,,,,318.09574728800004,10.1021/jp044530j
8618,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,O,307.0,453.0,0.35,0.004,3.544068,,,,,318.09574728800004,10.1021/jp044530j
8619,FC(F)(F)c1ccc2c(c1)Nc1ccccc1S2,CC#N,322.0,,,,3.612784,,,,,267.032954916,10.1021/jp044530j
8620,FC(F)(F)c1ccc2c(c1)Nc1ccccc1S2,CO,324.0,,,,3.633468,,,,,267.032954916,10.1021/jp044530j
8621,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CC#N,310.0,470.0,2.66,0.001,3.60206,,,,,352.122104268,10.1021/jp044530j
8622,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CO,310.0,463.0,2.47,0.001,3.568202,,,,,352.122104268,10.1021/jp044530j
8623,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,O,306.0,475.0,3.17,0.001,3.50515,,,,,352.122104268,10.1021/jp044530j
8624,CSc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,CC#N,315.0,460.0,1.16,0.003,3.690196,,,,,330.122440704,10.1021/jp044530j
8625,CSc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,CO,314.0,455.0,1.15,0.003,3.591065,,,,,330.122440704,10.1021/jp044530j
8626,CSc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,O,312.0,475.0,1.17,0.003,3.623249,,,,,330.122440704,10.1021/jp044530j
8627,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CC#N,314.0,449.0,0.91,0.008,3.662758,,,,,373.137946448,10.1021/jp044530j
8628,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CO,313.0,449.0,0.89,0.047,3.653213,,,,,373.137946448,10.1021/jp044530j
8629,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,O,309.0,457.0,,0.003,3.579784,,,,,373.137946448,10.1021/jp044530j
8630,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CC#N,310.0,470.0,2.68,0.001,3.612784,5768.0,3786.1,55.9,84.3,407.164303428,10.1021/jp044530j
8631,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CO,310.0,467.0,2.52,0.001,3.662758,,,,,407.164303428,10.1021/jp044530j
8632,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,O,308.0,482.0,3.01,0.001,3.568202,,,,,407.164303428,10.1021/jp044530j
8633,CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CC#N,316.0,455.0,1.03,0.005,3.643453,,,,,400.175538896,10.1021/jp044530j
8634,CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CO,314.0,453.0,0.96,0.004,3.732394,,,,,400.175538896,10.1021/jp044530j
8635,CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,O,312.0,466.0,1.47,0.006,3.633468,,,,,400.175538896,10.1021/jp044530j
8636,F[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,402.0,434.0,,0.036,4.45,,3351.6,,63.5,578.186605614,10.1021/om9804778
8637,c1ccc2c([SiH](c3c4ccccc4cc4ccccc34)c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,ClC(Cl)Cl,401.0,432.0,,0.028,4.51,,3167.1,,59.4,560.196027426,10.1021/om9804778
8638,O[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,402.0,434.0,,0.015,4.43,,3380.0,,64.0,576.190942046,10.1021/om9804778
8639,CO[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,401.0,439.0,,0.006,4.4,,4328.1,,84.2,590.2065921100001,10.1021/om9804778
8640,C=C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,404.0,437.0,,0.017,4.43,,3095.9,,59.4,586.21167749,10.1021/om9804778
8641,C[Si](C)(C)C#C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,404.0,438.0,,0.04,4.45,,3185.5,,61.4,656.235554212,10.1021/om9804778
8642,F[Si](c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,394.0,426.0,,0.52,3.85,,,,,378.124005358,10.1021/om9804778
8643,F[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,401.0,416.0,,0.033,4.48,,,,,578.186605614,10.1021/ja001042q
8644,F[Si-](F)(c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,392.0,396.0,,0.64,4.61,,,,,597.18555741391,10.1021/ja001042q
8645,F[Si](c1ccccc1)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,397.0,409.0,,0.17,4.26,,,,,478.155305486,10.1021/ja001042q
8646,F[Si-](F)(c1ccccc1)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,391.0,395.0,,0.46,4.33,,,,,497.15425728591,10.1021/ja001042q
8647,F[Si](c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,C1CCOC1,393.0,405.0,,0.86,3.91,,,,,378.124005358,10.1021/ja001042q
8648,F[Si-](F)(c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,C1CCOC1,391.0,399.0,,0.76,3.87,,,,,397.1229571579101,10.1021/ja001042q
8649,F[Si](c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,286.0,332.0,,0.14,3.94,,,,,328.10835529400003,10.1021/ja001042q
8650,F[Si-](F)(c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,286.0,338.0,,0.061,3.84,,,,,347.10730709391004,10.1021/ja001042q
8651,F[Si](c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,302.0,353.0,,0.11,4.11,,,,,378.124005358,10.1021/ja001042q
8652,F[Si-](F)(c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,303.0,359.0,,0.19,4.12,,,,,397.1229571579101,10.1021/ja001042q
8653,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,ClC(Cl)Cl,433.0,482.0,,0.007,4.330414,,,,,401.189197736,10.1021/acsomega.8b02717
8654,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,ClCCl,430.0,478.0,,0.008,4.326336,,,,,401.189197736,10.1021/acsomega.8b02717
8655,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC#N,426.0,485.0,,0.032,4.060698,,,,,401.189197736,10.1021/acsomega.8b02717
8656,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)=O,418.0,475.0,,0.01,4.30103,,,,,401.189197736,10.1021/acsomega.8b02717
8657,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CS(C)=O,438.0,490.0,,0.044,4.0086,,,,,401.189197736,10.1021/acsomega.8b02717
8658,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CO,434.0,474.0,,0.025,4.0,,,,,401.189197736,10.1021/acsomega.8b02717
8659,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)O,432.0,472.0,,0.015,3.857332,,,,,401.189197736,10.1021/acsomega.8b02717
8660,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CCCCO,433.0,475.0,,0.018,3.832509,,,,,401.189197736,10.1021/acsomega.8b02717
8661,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)(C)O,420.0,478.0,,0.02,4.120574,,,,,401.189197736,10.1021/acsomega.8b02717
8662,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,O,420.0,478.0,,0.016,3.39794,,,,,401.189197736,10.1021/acsomega.8b02717
8663,N#Cc1ccc(C#Cc2ccccc2C#N)cc1,ClC(Cl)Cl,297.0,332.0,2.64,0.452,4.58,,3076.9,,34.0,228.068748256,10.1021/ol0528991
8664,N#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3C#N)cc2C#N)cc1,ClC(Cl)Cl,340.0,370.0,1.83,0.783,4.74,7472.9,2582.5,87.8,35.4,353.09529735200005,10.1021/ol0528991
8665,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,357.0,392.0,1.14,0.858,4.94,6355.9,2022.6,82.1,31.1,478.121846448,10.1021/ol0528991
8666,CSc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,375.0,455.0,1.29,0.972,4.89,6146.6,3617.4,87.6,75.4,499.1143185440001,10.1021/ol0528991
8667,Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,360.0,403.0,1.23,0.96,4.91,5534.9,3093.3,72.5,50.4,467.1422475440001,10.1021/ol0528991
8668,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,371.0,434.0,1.36,0.982,4.87,5894.2,3604.5,82.1,68.3,483.1371621640001,10.1021/ol0528991
8669,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,425.0,555.0,1.78,0.999,4.75,4995.8,3246.5,91.3,100.8,496.16879664,10.1021/ol0528991
8670,C(#Cc1ccccc1)c1ccccc1,ClC(Cl)Cl,299.0,320.0,3.89,0.003,4.41,,,,,178.07825032,10.1021/ol0528991
8671,C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1,ClC(Cl)Cl,328.0,348.0,2.57,0.5,4.59,,,,,278.109550448,10.1021/ol0528991
8672,C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1,ClC(Cl)Cl,345.0,387.0,1.7,0.61,4.77,,,,,378.140850576,10.1021/ol0528991
8673,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,371.0,420.0,1.446341,0.972,4.84,,,,,483.1371621640001,10.1021/ol0528991
8674,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,369.0,460.0,1.287498,0.972,4.89,,,,,483.1371621640001,10.1021/ol0528991
8675,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,364.0,490.0,1.28866,0.973,4.89,,,,,483.1371621640001,10.1021/ol0528991
8676,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,369.0,513.0,1.381406,0.949,4.86,,,,,483.1371621640001,10.1021/ol0528991
8677,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,426.0,519.0,1.737393,0.999,4.76,,,,,496.16879664,10.1021/ol0528991
8678,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,422.0,621.0,1.698947,0.084,4.77,,,,,496.16879664,10.1021/ol0528991
8679,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,413.0,682.0,1.658639,0.002,4.78,,,,,496.16879664,10.1021/ol0528991
8680,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,426.0,699.0,1.861643,0.002,4.73,,,,,496.16879664,10.1021/ol0528991
8681,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,358.0,393.0,1.652893,0.779,4.78,,,,,478.121846448,10.1021/ol0528991
8682,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,356.0,390.0,1.234568,0.855,4.91,,,,,478.121846448,10.1021/ol0528991
8683,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,352.0,388.0,1.785714,0.77,4.75,,,,,478.121846448,10.1021/ol0528991
8684,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,357.0,394.0,1.612903,0.718,4.79,,,,,478.121846448,10.1021/ol0528991
8685,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,ClC(Cl)(Cl)Cl,477.0,492.0,0.5,0.2,,,,,,384.134445928,10.1021/jo400389h
8686,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CCOCC,475.0,497.0,0.7,0.24,,,,,,384.134445928,10.1021/jo400389h
8687,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CCOC(C)=O,480.0,515.0,0.88,0.35,,,,,,384.134445928,10.1021/jo400389h
8688,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,ClCCl,488.0,538.0,1.3,0.44,4.877832,,,,,384.134445928,10.1021/jo400389h
8689,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CC(C)=O,483.0,534.0,1.49,0.45,,,,,,384.134445928,10.1021/jo400389h
8690,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CC#N,483.0,549.0,1.55,0.51,,,,,,384.134445928,10.1021/jo400389h
8691,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,ClC(Cl)(Cl)Cl,493.0,515.0,0.7,0.24,,,,,,460.165746056,10.1021/jo400389h
8692,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CCOCC,491.0,520.0,0.9,0.27,,,,,,460.165746056,10.1021/jo400389h
8693,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CCOC(C)=O,496.0,534.0,1.18,0.34,,,,,,460.165746056,10.1021/jo400389h
8694,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,ClCCl,505.0,554.0,1.35,0.41,4.893373,3270.8,2408.6,84.0,74.3,460.165746056,10.1021/jo400389h
8695,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CC(C)=O,500.0,549.0,1.43,0.41,,,,,,460.165746056,10.1021/jo400389h
8696,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CC#N,500.0,564.0,1.5,0.42,,,,,,460.165746056,10.1021/jo400389h
8697,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,ClC(Cl)(Cl)Cl,523.0,561.0,1.18,0.23,,,,,,484.165746056,10.1021/jo400389h
8698,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CCOCC,516.0,587.0,1.34,0.29,,,,,,484.165746056,10.1021/jo400389h
8699,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CCOC(C)=O,524.0,590.0,1.51,0.31,,,,,,484.165746056,10.1021/jo400389h
8700,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,ClCCl,536.0,616.0,1.96,0.39,4.736157,,,,,484.165746056,10.1021/jo400389h
8701,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CC(C)=O,532.0,622.0,1.03,0.21,,,,,,484.165746056,10.1021/jo400389h
8702,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CC#N,530.0,651.0,0.65,0.12,,,,,,484.165746056,10.1021/jo400389h
8703,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,ClC(Cl)(Cl)Cl,542.0,577.0,0.94,,,,,,,560.197046184,10.1021/jo400389h
8704,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CCOCC,540.0,583.0,1.12,,,,,,,560.197046184,10.1021/jo400389h
8705,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CCOC(C)=O,542.0,603.0,1.28,,,,,,,560.197046184,10.1021/jo400389h
8706,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,ClCCl,526.0,600.0,1.86,0.51,4.86,3258.7,2471.5,90.8,89.5,560.197046184,10.1021/jo400389h
8707,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CC(C)=O,549.0,631.0,1.02,,,,,,,560.197046184,10.1021/jo400389h
8708,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CC#N,550.0,649.0,0.63,,,,,,,560.197046184,10.1021/jo400389h
8709,COc1ccc2cc(C=CC3=[O+][B-](F)(F)OC(C=Cc4ccc5cc(OC)ccc5c4)=C3c3ccccc3)ccc2c1,ClCCl,556.0,633.0,1.91,0.51,4.76,2692.0,2545.8,83.7,102.7,560.197046184,10.1021/jo400389h
8710,Cn1c2ccccc2c2cc(C=CC3=[O+][B-](F)(F)OC(C=Cc4ccc5c(c4)c4ccccc4n5C)=C3c3ccccc3)ccc21,ClCCl,565.0,636.0,2.15,0.6,4.843046,2787.7,1995.4,89.5,81.0,606.229015008,10.1021/jo400389h
8711,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2cccc(OC)c2)cc1,ClCCl,504.0,556.0,1.32,0.41,4.864511,,,,,490.17631074,10.1021/jo400389h
8712,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccc(OC)cc2)cc1,ClCCl,506.0,571.0,1.31,0.39,4.869818,,2691.1,,88.3,490.17631074,10.1021/jo400389h
8713,COC(=O)c1ccc(C2=C(C=Cc3ccc(OC)cc3)O[B-](F)(F)[O+]=C2C=Cc2ccc(OC)cc2)cc1,ClCCl,507.0,557.0,1.34,0.43,4.873727,,,,,518.17122536,10.1021/jo400389h
8714,C(#Cc1ccccc1)c1ccccc1,CO,298.0,307.0,,0.002,4.418301,4721.9,,42.1,,178.07825032,10.1021/jp9053988
8715,C(#Cc1ccccc1)c1ccccc1,ClCCl,299.0,302.0,,0.003,,,4362.2,,40.0,178.07825032,10.1021/jp9053988
8716,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#N)cc2)cc1,CO,378.0,514.0,1.0,0.015,4.514548,4333.2,,62.3,,386.272199088,10.1021/jp9053988
8717,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#N)cc2)cc1,ClCCl,385.0,484.0,2.8,0.37,,,3654.5,,86.3,386.272199088,10.1021/jp9053988
